"","Plot.ID","Species","n","rel.freq","Class"
"401","QW9","Post oak",2,"33%","Canopy"
"402","QW9","Red maple",1,"17%","Canopy"
"403","RK1","Black cherry",1,"100%","Canopy"
"404","RK10","Ailanthus",2,"40%","Canopy"
"405","RK10","Red maple",2,"40%","Canopy"
"406","RK10","Tulip poplar",1,"20%","Canopy"
"407","RK11","Chestnut oak",1,"17%","Canopy"
"408","RK11","Hickory",1,"17%","Canopy"
"409","RK11","Tulip poplar",1,"17%","Canopy"
"410","RK11","White oak",3,"50%","Canopy"
"411","RK12","Black cherry",1,"50%","Canopy"
"412","RK12","Eastern redcedar",1,"50%","Canopy"
"413","RK2","Blackgum",1,"25%","Canopy"
"414","RK2","Tulip poplar",2,"50%","Canopy"
"415","RK2","White oak",1,"25%","Canopy"
"416","RK3","Ailanthus",1,"33%","Canopy"
"417","RK3","Walnut",2,"67%","Canopy"
"418","RK4","Hickory",4,"44%","Canopy"
"419","RK4","Red maple",2,"22%","Canopy"
"420","RK4","Shagwood hickory",2,"22%","Canopy"
"421","RK4","Tulip poplar",1,"11%","Canopy"
"422","RK5","Black gum",2,"25%","Canopy"
"423","RK5","Black walnut",1,"12%","Canopy"
"424","RK5","Northern red oak",1,"12%","Canopy"
"425","RK5","Tulip poplar",2,"25%","Canopy"
"426","RK5","White oak",2,"25%","Canopy"
"427","RK6","Black oak",3,"50%","Canopy"
"428","RK6","Red maple",2,"33%","Canopy"
"429","RK6","Virginia pine",1,"17%","Canopy"
"430","RK7",NA,1,"100%","Canopy"
"431","RK8",NA,1,"100%","Canopy"
"432","RK9","Red maple",1,"25%","Canopy"
"433","RK9","Tulip poplar",3,"75%","Canopy"
"434","RMH1",NA,1,"100%","Canopy"
"435","RMH10","  ",1,"20%","Canopy"
"436","RMH10","Hickory",3,"60%","Canopy"
"437","RMH10","Tulip poplar",1,"20%","Canopy"
"438","RMH2","Black oak",1,"14%","Canopy"
"439","RMH2","Hickory",1,"14%","Canopy"
"440","RMH2","Princess tree",1,"14%","Canopy"
"441","RMH2","Red maple",2,"29%","Canopy"
"442","RMH2","Sassafrass",1,"14%","Canopy"
"443","RMH2","Tulip poplar",1,"14%","Canopy"
"444","RMH3",NA,1,"100%","Canopy"
"445","RMH4","Chestnut oak",1,"14%","Canopy"
"446","RMH4","Hickory",4,"57%","Canopy"
"447","RMH4","Unknown",1,"14%","Canopy"
"448","RMH4","White oak",1,"14%","Canopy"
"449","RMH5",NA,1,"100%","Canopy"
"450","RMH6",NA,1,"100%","Canopy"
"451","RMH7",NA,1,"100%","Canopy"
"452","RMH8","Black oak",1,"20%","Canopy"
"453","RMH8","Hickory",2,"40%","Canopy"
"454","RMH8","Red maple",1,"20%","Canopy"
"455","RMH8","Tulip poplar",1,"20%","Canopy"
"456","RMH9","Red maple",2,"40%","Canopy"
"457","RMH9","Tulip poplar",3,"60%","Canopy"
"458","RMM1","Hackberry",1,"33%","Canopy"
"459","RMM1","Sycamore",1,"33%","Canopy"
"460","RMM1","Tulip poplar",1,"33%","Canopy"
"461","RMM10","Black oak",1,"20%","Canopy"
"462","RMM10","Red maple",3,"60%","Canopy"
"463","RMM10","White pine",1,"20%","Canopy"
"464","RMM2",NA,1,"100%","Canopy"
"465","RMM3","Black oak",1,"20%","Canopy"
"466","RMM3","Chestnut oak",1,"20%","Canopy"
"467","RMM3","Hickory",2,"40%","Canopy"
"468","RMM3","White pine",1,"20%","Canopy"
"469","RMM4",NA,1,"100%","Canopy"
"470","RMM5",NA,1,"100%","Canopy"
"471","RMM6","Black oak",1,"20%","Canopy"
"472","RMM6","Chestnut oak",4,"80%","Canopy"
"473","RMM7",NA,1,"100%","Canopy"
"474","RMM8","Black oak",1,"50%","Canopy"
"475","RMM8","Sweet birch",1,"50%","Canopy"
