,Plot.ID,Species,n,rel.freq,Class
320,PT9,Dogwood,1,14%,Canopy
321,PT9,Tulip poplar,2,29%,Canopy
322,QW10,Ailanthus,1,12%,Canopy
323,QW10,Blackgum,2,25%,Canopy
324,QW10,Post oak,3,38%,Canopy
325,QW10,Tulip poplar,1,12%,Canopy
326,QW10,Virginia pine,1,12%,Canopy
327,QW14,White oak,4,100%,Canopy
328,QW3,Hickory,2,100%,Canopy
329,QW7,Ailanthus,1,14%,Canopy
330,QW7,Sweet birch,1,14%,Canopy
331,QW7,Tulip poplar,5,71%,Canopy
332,QW8,Ailanthus,6,86%,Canopy
333,QW8,Black walnut,1,14%,Canopy
334,QW9,Black cherry,1,17%,Canopy
335,QW9,Eastern redcedar,1,17%,Canopy
336,QW9,Hawthorn,1,17%,Canopy
337,QW9,Post oak,2,33%,Canopy
338,QW9,Red maple,1,17%,Canopy
339,RK1,Black cherry,1,100%,Canopy
340,RK10,Ailanthus,2,40%,Canopy
341,RK10,Red maple,2,40%,Canopy
342,RK10,Tulip poplar,1,20%,Canopy
343,RK11,Chestnut oak,1,17%,Canopy
344,RK11,Hickory,1,17%,Canopy
345,RK11,Tulip poplar,1,17%,Canopy
346,RK11,White oak,3,50%,Canopy
347,RK12,Black cherry,1,50%,Canopy
348,RK12,Eastern redcedar,1,50%,Canopy
349,RK2,Blackgum,1,25%,Canopy
350,RK2,Tulip poplar,2,50%,Canopy
351,RK2,White oak,1,25%,Canopy
352,RK3,Ailanthus,1,33%,Canopy
353,RK3,Walnut,2,67%,Canopy
354,RK4,Hickory,4,44%,Canopy
355,RK4,Red maple,2,22%,Canopy
356,RK4,Shagwood hickory,2,22%,Canopy
357,RK4,Tulip poplar,1,11%,Canopy
358,RK5,Black gum,2,25%,Canopy
359,RK5,Black walnut,1,12%,Canopy
360,RK5,Northern red oak,1,12%,Canopy
361,RK5,Tulip poplar,2,25%,Canopy
362,RK5,White oak,2,25%,Canopy
363,RK6,Black oak,3,50%,Canopy
364,RK6,Red maple,2,33%,Canopy
365,RK6,Virginia pine,1,17%,Canopy
366,RK9,Red maple,1,25%,Canopy
367,RK9,Tulip poplar,3,75%,Canopy
368,RMH10,  ,1,20%,Canopy
369,RMH10,Hickory,3,60%,Canopy
370,RMH10,Tulip poplar,1,20%,Canopy
371,RMH2,Black oak,1,14%,Canopy
372,RMH2,Hickory,1,14%,Canopy
373,RMH2,Princess tree,1,14%,Canopy
374,RMH2,Red maple,2,29%,Canopy
375,RMH2,Sassafrass,1,14%,Canopy
376,RMH2,Tulip poplar,1,14%,Canopy
377,RMH4,Chestnut oak,1,14%,Canopy
378,RMH4,Hickory,4,57%,Canopy
379,RMH4,Unknown,1,14%,Canopy
380,RMH4,White oak,1,14%,Canopy
381,RMH8,Black oak,1,20%,Canopy
382,RMH8,Hickory,2,40%,Canopy
383,RMH8,Red maple,1,20%,Canopy
384,RMH8,Tulip poplar,1,20%,Canopy
385,RMH9,Red maple,2,40%,Canopy
386,RMH9,Tulip poplar,3,60%,Canopy
387,RMM1,Hackberry,1,33%,Canopy
388,RMM1,Sycamore,1,33%,Canopy
389,RMM1,Tulip poplar,1,33%,Canopy
390,RMM10,Black oak,1,20%,Canopy
391,RMM10,Red maple,3,60%,Canopy
392,RMM10,White pine,1,20%,Canopy
393,RMM3,Black oak,1,20%,Canopy
394,RMM3,Chestnut oak,1,20%,Canopy
395,RMM3,Hickory,2,40%,Canopy
396,RMM3,White pine,1,20%,Canopy
397,RMM6,Black oak,1,20%,Canopy
398,RMM6,Chestnut oak,4,80%,Canopy
399,RMM8,Black oak,1,50%,Canopy
400,RMM8,Sweet birch,1,50%,Canopy
401,SL1,Ailanthus,1,20%,Canopy
402,SL1,Tulip poplar,4,80%,Canopy
403,SL12,Black oak,1,17%,Canopy
404,SL12,Red maple,1,17%,Canopy
405,SL12,Sweet birch,3,50%,Canopy
406,SL12,Tulip poplar,1,17%,Canopy
407,SL2,Chestnut oak,1,20%,Canopy
408,SL2,Red oak,1,20%,Canopy
409,SL2,Sweet birch,3,60%,Canopy
410,SL3,Blackgum,3,38%,Canopy
411,SL3,Hickory,1,12%,Canopy
412,SL3,Red maple,1,12%,Canopy
413,SL3,Tulip poplar,1,12%,Canopy
414,SL3,White oak,2,25%,Canopy
415,SL4,Black oak,2,20%,Canopy
416,SL4,Blackgum,1,10%,Canopy
417,SL4,Chestnut oak,2,20%,Canopy
418,SL4,Sweet birch,4,40%,Canopy
419,SL4,Tulip poplar,1,10%,Canopy
420,SL5,Blackgum,1,17%,Canopy
421,SL5,Chestnut oak,1,17%,Canopy
422,SL5,Red oak,1,17%,Canopy
423,SL5,Sweet birch,2,33%,Canopy
424,SL5,Tulip poplar,1,17%,Canopy
425,SL6,Red maple,3,43%,Canopy
426,SL6,Tulip poplar,4,57%,Canopy
427,SL8,Maple spp.,1,25%,Canopy
428,SL8,Tulip poplar,3,75%,Canopy
429,SL9,Black walnut,2,67%,Canopy
430,SL9,Tulip poplar,1,33%,Canopy
431,SM13,Red maple,1,20%,Canopy
432,SM13,Tulip poplar,4,80%,Canopy
433,SM14,Black oak,1,20%,Canopy
434,SM14,Chestnut oak,1,20%,Canopy
435,SM14,Hickory,1,20%,Canopy
436,SM14,Red oak,2,40%,Canopy
437,SM15,Black oak,1,33%,Canopy
438,SM15,Tulip poplar,2,67%,Canopy
439,SM2,Blackgum,1,50%,Canopy
440,SM2,Red maple,1,50%,Canopy
441,SM5,Blackgum,2,29%,Canopy
442,SM5,Red maple,2,29%,Canopy
443,SM5,Tulip poplar,3,43%,Canopy
444,SM6,Red maple,5,71%,Canopy
445,SM6,Striped maple,1,14%,Canopy
446,SM6,Tulip poplar,1,14%,Canopy
447,SM7,Ailanthus,1,17%,Canopy
448,SM7,Tulip poplar,3,50%,Canopy
449,SM7,Walnut,2,33%,Canopy
450,SM9,Red maple,1,14%,Canopy
451,SM9,Red oak,1,14%,Canopy
452,SM9,Striped maple,1,14%,Canopy
453,SM9,Sweet birch,3,43%,Canopy
454,SM9,Tulip poplar,1,14%,Canopy
455,SMH1,Post oak,1,50%,Canopy
456,SMH1,White oak,1,50%,Canopy
457,SMH2,Black oak,1,9%,Canopy
458,SMH2,Blackgum,4,36%,Canopy
459,SMH2,Red maple,1,9%,Canopy
460,SMH2,Red oak,3,27%,Canopy
461,SMH2,White oak,2,18%,Canopy
462,SMH4,Hickory,2,22%,Canopy
463,SMH4,White oak,5,56%,Canopy
464,SMH4,White pine,2,22%,Canopy
465,SMH6,Blackgum,2,33%,Canopy
466,SMH6,Hickory,3,50%,Canopy
467,SMH6,Red maple,1,17%,Canopy
468,SMH7,Hickory,2,50%,Canopy
469,SMH7,Tulip poplar,2,50%,Canopy
470,SMH8,Hickory,1,20%,Canopy
471,SMH8,Red maple,2,40%,Canopy
472,SMH8,Tulip poplar,1,20%,Canopy
473,SMH8,White oak,1,20%,Canopy
474,SMH9,Red maple,1,9%,Canopy
475,SMH9,Red oak,1,9%,Canopy
476,SMH9,Sweet birch,1,9%,Canopy
477,SMH9,Tulip poplar,1,9%,Canopy
478,SMH9,White oak,2,18%,Canopy
479,SMH9,White pine,5,45%,Canopy
480,SMHA,Blackgum,2,25%,Canopy
481,SMHA,Hickory,2,25%,Canopy
482,SMHA,Red maple,2,25%,Canopy
483,SMHA,White oak,2,25%,Canopy
484,SMS2,Tulip poplar,4,100%,Canopy
485,SMS3,Blackgum,1,50%,Canopy
486,SMS3,Sweet birch,1,50%,Canopy
487,SMS4,Ailanthus,1,14%,Canopy
488,SMS4,Eastern hemlock,1,14%,Canopy
489,SMS4,Sweet birch,1,14%,Canopy
490,SMS4,Tulip poplar,4,57%,Canopy
491,SMS6,Ash,2,22%,Canopy
492,SMS6,Hickory,1,11%,Canopy
493,SMS6,Sweet birch,3,33%,Canopy
494,SMS6,Tulip poplar,2,22%,Canopy
495,SMS6,White oak,1,11%,Canopy
496,SMS7,Eastern hemlock,1,14%,Canopy
497,SMS7,Sweet birch,4,57%,Canopy
498,SMS7,Tulip poplar,1,14%,Canopy
499,SMS7,White pine,1,14%,Canopy
500,WM1,Ailanthus,2,18%,Canopy
501,WM1,Black cherry,1,9%,Canopy
502,WM1,Black walnut,1,9%,Canopy
503,WM1,Red maple,3,27%,Canopy
504,WM1,Tulip poplar,4,36%,Canopy
505,WM10,Blackgum,3,60%,Canopy
506,WM10,Red maple,1,20%,Canopy
507,WM10,Tulip poplar,1,20%,Canopy
508,WM12,Ailanthus,2,33%,Canopy
509,WM12,Black oak,1,17%,Canopy
510,WM12,Mulberry,1,17%,Canopy
511,WM12,Red maple,1,17%,Canopy
512,WM12,Red oak,1,17%,Canopy
513,WM13,Red maple,1,17%,Canopy
514,WM13,Tulip poplar,1,17%,Canopy
515,WM13,Virginia pine,3,50%,Canopy
516,WM13,White pine,1,17%,Canopy
517,WM15,Hickory,2,40%,Canopy
518,WM15,Tulip poplar,2,40%,Canopy
519,WM15,White oak,1,20%,Canopy
520,WM3,Ailanthus,3,30%,Canopy
521,WM3,Tulip poplar,7,70%,Canopy
522,WM4,Blackgum,1,25%,Canopy
523,WM4,Tulip poplar,3,75%,Canopy
524,WM5,Black walnut,1,33%,Canopy
525,WM5,Red maple,1,33%,Canopy
526,WM5,Tulip poplar,1,33%,Canopy
527,WM6,Blackgum,1,20%,Canopy
528,WM6,Hickory,3,60%,Canopy
529,WM6,Red oak,1,20%,Canopy
530,WM8,Chestnut oak,1,17%,Canopy
531,WM8,Cucumber tree,2,33%,Canopy
532,WM8,Hickory,1,17%,Canopy
533,WM8,Tulip poplar,2,33%,Canopy
534,WM9,Blackgum,1,25%,Canopy
535,WM9,Chestnut oak,3,75%,Canopy
