Date,Stand Name,Plot ID,Surveyed YN,Species,"0.1-3"" DBH","3-4.9"" DBH",Comments,
8/6/2025,Butler North,BN11,Y,White pine,2,0,,
8/6/2025,Butler North,BN11,Y,Dogwood,2,0,,
8/11/2025,Butler North,BN12,Y,Red maple,1,1,,
8/11/2025,Butler North,BN12,Y,Chestnut oak,0,1,,
8/11/2025,Butler North,BN12,Y,Sweet birch,1,0,,
NA,Butler North,BN13,N,NA,NA,NA,,
8/11/2025,Butler North,BN14,Y,Sweet birch,4,0,,
8/11/2025,Butler North,BN14,Y,Blackgum,1,1,,
8/11/2025,Butler North,BN14,Y,Red maple,5,0,,
8/11/2025,Butler North,BN14,Y,Hickory,2,1,,
8/11/2025,Butler North,BN14,Y,Black oak,1,0,,
8/6/2025,Butler North,BN15,Y,Hercules club,15,0,,
8/6/2025,Butler North,BN15,Y,Black locust,1,0,,
8/6/2025,Butler North,BN15,Y,Tulip poplar,7,0,,
8/6/2025,Butler North,BN15,Y,Ash,3,0,,
8/6/2025,Butler North,BN15,Y,White oak,2,0,,
8/6/2025,Butler North,BN15,Y,Blackgum,2,0,,
8/6/2025,Butler North,BN15,Y,Hickory,8,0,,
8/6/2025,Butler North,BN15,Y,Sycamore,1,0,,
8/6/2025,Butler North,BN15,Y,Chestnut oak,1,0,,
8/6/2025,Butler North,BN15,Y,Black oak,1,0,,
8/6/2025,Butler North,BN15,Y,Dogwood,1,0,,
8/11/2025,Butler North,BN2,Y,Hickory,5,0,,
8/11/2025,Butler North,BN2,Y,Ash,1,0,,
8/11/2025,Butler North,BN2,Y,Sweet birch,15,0,,
8/11/2025,Butler North,BN2,Y,Black locust,2,0,,
8/11/2025,Butler North,BN2,Y,Hercules club,6,0,,
8/11/2025,Butler North,BN2,Y,Black cherry,12,0,,
8/11/2025,Butler North,BN2,Y,Tulip poplar,59,0,,
8/11/2025,Butler North,BN2,Y,Black oak,1,0,,
8/11/2025,Butler North,BN2,Y,Chestnut oak,1,0,,
8/11/2025,Butler North,BN2,Y,Beech,1,0,,
8/11/2025,Butler North,BN2,Y,Dogwood,0,1,,
8/6/2025,Butler North,BN3,Y,Blackgum,3,0,,
8/6/2025,Butler North,BN3,Y,Hickory,4,1,,
8/6/2025,Butler North,BN3,Y,Tulip poplar,2,0,,
8/6/2025,Butler North,BN3,Y,Hercules club,1,0,,
8/6/2025,Butler North,BN3,Y,Ash,1,0,,
8/6/2025,Butler North,BN3,Y,Dogwood,1,0,,
8/6/2025,Butler North,BN3,Y,Red maple,1,0,,
8/6/2025,Butler North,BN4,Y,Blackgum,2,0,,
8/6/2025,Butler North,BN4,Y,Witch hazel,10,0,,
8/6/2025,Butler North,BN4,Y,Red maple,1,0,,
8/6/2025,Butler North,BN4,Y,Hickory,1,0,,
8/6/2025,Butler North,BN4,Y,Sweet birch,1,0,,
8/7/2025,Butler North,BN5,Y,Hickory,11,0,,
8/7/2025,Butler North,BN5,Y,Hercules club,3,0,,
8/7/2025,Butler North,BN5,Y,Red maple,2,0,,
8/7/2025,Butler North,BN5,Y,Red oak,1,0,,
8/7/2025,Butler North,BN5,Y,Chestnut oak,1,0,,
8/7/2025,Butler North,BN5,Y,Black locust,1,0,,
8/7/2025,Butler North,BN5,Y,Black cherry,1,0,?,
8/7/2025,Butler North,BN5,Y,Hawthorn,1,0,,
8/7/2025,Butler North,BN5,Y,Blackgum,1,0,,
8/7/2025,Butler North,BN5,Y,Ailanthus,1,0,,
8/7/2025,Butler North,BN5,Y,Tulip poplar,5,2,,
8/7/2025,Butler North,BN6,Y,Tulip poplar,20,0,,
8/7/2025,Butler North,BN6,Y,Sweet birch,5,0,,
8/7/2025,Butler North,BN6,Y,Hercules club,1,0,,
8/7/2025,Butler North,BN6,Y,Red maple,1,0,,
NA,Butler North,BN7,N,NA,NA,NA,,
8/7/2025,Butler North,BN8,Y,Blackgum,1,2,,
8/7/2025,Butler North,BN8,Y,Red maple,4,0,,
8/7/2025,Butler North,BN8,Y,Sweet birch,1,2,,
8/7/2025,Butler North,BN8,Y,Black oak,0,1,,
8/7/2025,Butler North,BN8,Y,Hickory,0,1,,
8/11/2025,Butler North,BN9,Y,Tulip poplar,18,0,"Striped maple/AO just outside plot,BT",
8/11/2025,Butler North,BN9,Y,Hercules club,4,0,,
8/11/2025,Butler North,BN9,Y,Sweet birch,4,0,,
8/11/2025,Butler North,BN9,Y,Black cherry,1,0,,
8/11/2025,Butler North,BN9,Y,Princess tree,0,2,,
7/9/2025,Butler Mtn,BU1,Y,Blackgum,1,0,,
7/9/2025,Butler Mtn,BU1,Y,Hickory,1,0,,
7/9/2025,Butler Mtn,BU1,Y,Red maple,1,0,Spp?,
7/9/2025,Butler Mtn,BU1,Y,Blackgum,1,0,,
7/17/2025,Butler Mtn,BU10,Y,Tulip poplar,1,0,,
7/17/2025,Butler Mtn,BU10,Y,Sassafrass,3,0,,
7/17/2025,Butler Mtn,BU10,Y,Red maple,1,0,,
7/17/2025,Butler Mtn,BU10,Y,Black oak,1,0,,
NA,Butler Mtn,BU2,N,NA,NA,NA,,
7/10/2025,Butler Mtn,BU3,Y,Red maple,3,1,,
7/10/2025,Butler Mtn,BU3,Y,Hickory,0,1,,
7/10/2025,Butler Mtn,BU3,Y,Red maple,3,1,,
7/10/2025,Butler Mtn,BU3,Y,Blackgum,2,0,,
7/10/2025,Butler Mtn,BU3,Y,Honey locust,1,0,,
7/10/2025,Butler Mtn,BU3,Y,Tulip poplar,1,0,,
7/10/2025,Butler Mtn,BU3,Y,Sycamore,2,0,,
7/10/2025,Butler Mtn,BU3,Y,Redbud,1,0,,
7/16/2025,Butler Mtn,BU4,Y,Tulip poplar,2,2,,
7/16/2025,Butler Mtn,BU4,Y,Chestnut oak,0,2,? 1 Recorded as dwarf chinquapin,
7/16/2025,Butler Mtn,BU4,Y,Red maple,1,0,,
7/16/2025,Butler Mtn,BU4,Y,Hickory,1,0,,
7/16/2025,Butler Mtn,BU4,Y,Slippery elm,3,0,,
7/16/2025,Butler Mtn,BU4,Y,Blackgum,1,0,,
7/16/2025,Butler Mtn,BU4,Y,Sassafrass,0,1,,
7/16/2025,Butler Mtn,BU4,Y,Redbud,1,0,,
NA,Butler Mtn,BU5,N,NA,NA,NA,,
NA,Butler Mtn,BU6,N,NA,NA,NA,,
NA,Butler Mtn,BU7,N,NA,NA,NA,,
7/14/2025,Butler Mtn,BU8,Y,Red maple,0,1,,
7/14/2025,Butler Mtn,BU8,Y,Ailanthus,2,0,,
7/16/2025,Butler Mtn,BU9,Y,Blackgum,1,1,,
7/16/2025,Butler Mtn,BU9,Y,Red maple,3,1,,
7/16/2025,Butler Mtn,BU9,Y,Hickory,7,0,,
7/16/2025,Butler Mtn,BU9,Y,Redbud,3,1,,
7/16/2025,Butler Mtn,BU9,Y,Black oak,1,0,,
9/17/2025,Bragonier,BW1,Y,Dogwood,3,0,,
9/17/2025,Bragonier,BW1,Y,Hackberry,2,0,,
9/17/2025,Bragonier,BW1,Y,Red maple,1,0,,
NA,Bragonier,BW10,N,NA,NA,NA,,
NA,Bragonier,BW11,Y,NA,NA,NA,,
NA,Bragonier,BW12,Y,NA,NA,NA,,
NA,Bragonier,BW2,Y,NA,NA,NA,,
NA,Bragonier,BW3,Y,NA,NA,NA,,
NA,Bragonier,BW4,Y,NA,NA,NA,,
