OBJECTID,Name,FolderPath,SymbolID,AltMode,Base,Snippet,PopupInfo,HasLabel,LabelID,X,Y
200,RK1,Document,0,-1,0,,,-1,0,-78.219118,38.547261
201,JM18,Document,0,-1,0,,,-1,0,-78.22331875,38.61280451
202,RK9,Document,0,-1,0,,,-1,0,-78.218171,38.549081
203,SM12,Document,0,-1,0,,,-1,0,-78.21074379,38.58838983
204,SM8,Document,0,-1,0,,,-1,0,-78.21205541,38.59028237
205,SM7,Document,0,-1,0,,,-1,0,-78.20880512,38.58880261
206,RMM1 4,Document,0,-1,0,,,-1,0,-78.19996767,38.60284553
207,GS 2,Document,0,-1,0,,,-1,0,-78.174397,38.543982
208,PT3,Document,0,-1,0,,,-1,0,-78.21255115,38.6352482
209,RK7,Document,0,-1,0,,,-1,0,-78.220339,38.551533
210,PT5,Document,0,-1,0,,,-1,0,-78.21561367,38.63556606
211,SL 12,Document,0,-1,0,,,-1,0,-78.19853844,38.61886169
212,JM10,Document,0,-1,0,,,-1,0,-78.220841,38.609323
213,RMH 1,Document,0,-1,0,,,-1,0,-78.19665486,38.60517766
214,RMM1 3,Document,0,-1,0,,,-1,0,-78.19924615,38.60344121
215,SM11,Document,0,-1,0,,,-1,0,-78.20453492,38.59483387
216,WM6,Document,0,-1,0,,,-1,0,-78.205809,38.55837
217,HW9,Document,0,-1,0,,,-1,0,-78.19471473,38.58482218
218,CR11,Document,0,-1,0,,,-1,0,-78.21081,38.562733
219,JM1,Document,0,-1,0,,,-1,0,-78.225564,38.604038
220,BU 6,Document,0,-1,0,,,-1,0,-78.17869035,38.57276553
221,BN3,Document,0,-1,0,,,-1,0,-78.17397497,38.58400707
222,BU 5,Document,0,-1,0,,,-1,0,-78.17596638,38.57033435
223,BN10,Document,0,-1,0,,,-1,0,-78.1745449,38.58667268
224,BN2,Document,0,-1,0,,,-1,0,-78.17054423,38.5855242
225,JM14,Document,0,-1,0,,,-1,0,-78.221769,38.606957
226,BA9,Document,0,-1,0,,,-1,0,-78.18324938,38.55615274
227,JM16,Document,0,-1,0,,,-1,0,-78.226217,38.605819
228,BH9,Document,0,-1,0,,,-1,0,-78.1879161,38.58195625
